"","H00908.CSI","H00909.CSI","H00910.CSI","H00911.CSI","H00912.CSI","H00913.CSI","H00914.CSI","H00915.CSI","H00916.CSI","H00917.CSI"
"2008-05-09",5208.274,4415.701,3553.443,3851.829,5854.611,4071.481,5664.891,1926.433,3703.092,2511.937
"2008-05-12",5115.741,4464.031,3577.323,3885.342,6046.875,4255.016,5714.006,1940.463,3642.64,2528.37
"2008-05-13",5068.544,4488.182,3525.053,3842.456,6030.286,4514.514,5561.971,1870.259,3528.206,2472.593
"2008-05-14",5223.606,4626.574,3634.04,3932.794,6110.466,4508.498,5807.449,1950.19,3613.679,2524.217
"2008-05-15",5187.057,4603.866,3628.561,3874.778,6099.843,4338.8,5741.58,1938.141,3520.892,2572.989
"2008-05-16",5146.571,4567.984,3648.999,3832.689,6021.841,4303.576,5766.296,1951.483,3502.443,2520.558
"2008-05-19",5268.099,4553.012,3638.44,3811.698,5948.074,4305.899,5656.871,1927.648,3537.909,2503.041
"2008-05-20",5024.894,4284.611,3461.037,3605.881,5591.969,3995.609,5374.068,1836.69,3344.85,2394.439
"2008-05-21",5272.552,4381.792,3482.169,3646.552,5655.944,4089.941,5448.718,1857.534,3454.232,2470.914
"2008-05-22",5321.259,4272.03,3389.47,3565.546,5569.56,3997.631,5289.526,1828.965,3495.316,2492.392
"2008-05-23",5305.047,4161.265,3328.911,3525.899,5520.667,3964.871,5259.452,1869.752,3675.769,2481.959
"2008-05-26",5054.517,4009.809,3237.878,3404.103,5440.004,3908.512,5087.098,1785.38,3668.146,2451.748
"2008-05-27",4965.784,4047.467,3254.397,3411.739,5435.786,3907.939,5162.353,1788.687,3668.146,2450.791
"2008-05-28",5065.464,4152.526,3348.726,3521.191,5533.542,3999.284,5351.774,1828.172,3685.985,2506.824
"2008-05-29",5028.199,4030.466,3261.219,3428.604,5407.098,3946.241,5160.808,1783.299,3683.393,2466.901
"2008-05-30",4954.144,4043.89,3286.89,3437.304,5409.671,3978.933,5274.237,1793.464,3682.325,2533.368
"2008-06-02",4983.333,4053.899,3301.81,3446.959,5433.338,4010.452,5274.765,1782.625,3697.877,2603.47
"2008-06-03",5017.48,4028.606,3308.012,3430.024,5396.698,4003.28,5261.778,1782.587,3585.024,2569.234
"2008-06-04",4872.04,3931.159,3244.53,3374.968,5282.626,3929.23,5239.47,1712.095,3301.032,2522.255
"2008-06-05",4692.33,3857.505,3232.576,3349.116,5230.777,3905.54,5245.554,1692.552,3297.564,2502.566
"2008-06-06",4673.911,3868.966,3194.132,3330.483,5218.479,3874.585,5208.453,1688.73,3194.783,2474.523
"2008-06-10",4463.97,3547.179,2908.157,3050.283,4861.191,3543.576,4727.462,1538.11,2959.759,2303.732
